Word,Root,Gloss,Morphemes,Line Numbers
таңгы,та,discourse particle indicating uncertainty (in response to a question),['гы (adjectival)'],1201C
өзү,,,['зү (verbalizer)'],"1201C, 1431C, 1471C"
улужуп,улу,dragon,['уп (circumstantial)'],1202C
санныг,сан,digital,['ныг (adjectival)'],1203C
бөрүлерпиӊ,,,['лер (plural)'],1204C
билдилиг,билдилиг,able,[],"1204C, 1207C, 1208C, 1219C, 1221C, 1222C, 1231C"
мелегей,мелегей,"tortoise, turtle",[],"1205C, 1205C, 1219C, 1224C, 1230C"
аштааш,аш,hunger,"['та (verbalizer)', 'аш (circumstantial)']","1205C, 1425C"
дашпайн,даш,stone,['пай (diminutive)'],1206C
веден,,,['ден (ablative)'],1209C
бодуӊну,бод,self,['ну (accusative)'],1209C
медегей,,,"['де (verbalizer)', 'гей (optative)']",1210C
ындында,ындында,"behind, beyond, away from",[],1213C
оортан,оор,burglar,['тан (ablative)'],"1213C, 1640C, 1643C"
кхүнзедир,,,"['зе (verbalizer)', 'дир (particle)']",1215C
хондур,,,['дур (copulative)'],1215C
даӊгаар,,,"['да (verbalizer)', 'га (dative)', 'ар (verbal noun)']",1215C
шаинчээчи,,,"['ин (reflexive)', 'чи (verbalizer)']","1217C, 1246C"
мурнай,,,"['ур (aorist)', 'на (verbalizer)']","1218C, 1253C"
көргүлээш,көр,please,[],1222C
сана,сан,digital,[],1222C
эңмежок,эң,most,[],1225C
тооввайн,,,['ва (negative)'],1226C
кызырак,кызырак,young mare,[],1227C
чорувас,,,"['ор (aorist)', 'ва (negative)']",1229C
шуптувус,шупту,everything/everybody,['вус (1st plural person marker)'],"1229C, 1239C, 1256C"
шанчаачы,,,"['ан (participle)', 'чы (verbalizer)']",1231C
олчага,олча,luck,['га (dative)'],1232C
кызыраан,,,"['кы (nominalizer)', 'зыра (verbalizer)', 'ан (participle)']",1234C
тоткан,,,['кан (participle)'],"1234C, 1591C"
шагзыраан,,,"['зыра (verbalizer)', 'ан (participle)']",1234C
улугулап,улуг,elderly,['ла (verbalizer)'],1235C
алдыыр,алды,lynx,['ыр (verbal noun)'],1235C
шакпылажып,шак,"this one, the (very) same one, that very one","['ла (verbalizer)', 'ып (circumstantial)']",1236C
шымдаӊар,,,"['ым (posessive 1st singular)', 'да (verbalizer)', 'ар (verbal noun)']",1238C
дектеӊер,дек,"soon, not soon (with a negative verb)","['те (verbalizer)', 'ер (verbal noun)']",1238C
домаамны,,,['ны (accusative)'],1238C
навадыӊар,,,"['на (verbalizer)', 'ва (negative)', 'ды (past tense)', 'ар (verbal noun)']",1239C
өлгенивис,өлген,dead,['ивис (posessive 1st plural)'],1239C
пинчээчи,,,"['ин (reflexive)', 'чи (verbalizer)']",1242C
дөӊмээ,,,[],1243C
дөштү,,,['тү (past tense 3rd)'],1243C
халыӊар,,,"['ал (ability)', 'ар (verbal noun)']","1244C, 1248C"
кудургайны,куду,down,"['гай (optative)', 'ны (accusative)']",1247C
доруг,доруг,bay,[],1249C
халчыӊар,,,"['ал (ability)', 'чы (verbalizer)', 'ар (verbal noun)']",1252C
турганы,,,"['тур (evidential)', 'га (dative)', 'ны (accusative)']",1253C
демин,,,"['де (verbalizer)', 'ин (reflexive)']",1255C
дидим,дидим,brave,[],1255C
аөъш,а,but,[],1256C
дөвүнчүк,,,['үк (verbalizer)'],1256C
бениӊ,бе,mare,['ни (accusative)'],1256C
чүгүртүп,чүг,feather,"['үр (causative)', 'үп (circumstantial)']",1259C
сааскандан,сааскан,eurasian magpie,['дан (ablative)'],1263C
оглуӊ,,,[],"1266C, 1272C"
терээӊ,те,Siberian ibex,[],"1268C, 1305C"
идер,идер,push,[],1268C
өрт,,,[],1268C
тендир,тен,thorn,['дир (particle)'],1269C
меҥ,,,[],1269C
шөлдү,шөл,"square, field, plaza, chessboard",['дү (past tense)'],"1274C, 1283C, 1542C"
тырттар,тырттар,pull,[],1274C
бере,бе,mare,[],1276C
ыглан,,,"['ыг (nominalizer)', 'ан (participle)']",1280C
дилгижек,дилги,fox,['ек (nominalizer)'],1281C
чипти,,,"['ип (circumstantial)', 'ти (past tense)']",1281C
ынчалдым,ынчал,please,['ым (posessive 1st singular)'],1284C
мыйызыӊ,,,['зы (verbalizer)'],1285C
даваныу,даван,"paw, foot",[],1286C
даваныӊ,даван,"paw, foot",[],1291C
кымдан,кым,who,['дан (ablative)'],1292C
туракүскени,тура,desire,"['ке (dative)', 'ни (accusative)']",1294C
үзӊгүрже,,,"['үр (causative)', 'же (allative)']",1294C
күскени,күске,mouse,['ни (accusative)'],1295C
дилгиге,дилги,fox,['ге (dative)'],1296C
сайга,,,"['са (verbalizer)', 'га (dative)']",1297C
борбаунадып,бо,"this, that, those","['ба (negative)', 'на (verbalizer)', 'ып (circumstantial)']","1297C, 1298C"
куйну,куй,cave,['ну (accusative)'],1298C
кумга,кум,"desert, sandy place",['га (dative)'],1298C
дагның,даг,mountain,['ның (genitive)'],1299C
сайынга,,,"['са (verbalizer)', 'ын (reflexive)', 'га (dative)']",1299C
борбаӊнадып,бо,"this, that, those","['ба (negative)', 'на (verbalizer)', 'ып (circumstantial)']","1299C, 1300C"
чоогу,чоог,proximity,[],1300C
үӊгүрже,,,"['үр (causative)', 'же (allative)']",1300C
саасканга,сааскан,eurasian magpie,['га (dative)'],1302C
сыырыптайн,,,"['сы (verbalizer)', 'ыр (verbal noun)', 'ып (circumstantial)', 'та (verbalizer)']",1303C
ужурар,ужур,"obligation, custom",['ар (verbal noun)'],"1305C, 1307C"
шөлүӊ,шөл,"square, field, plaza, chessboard",[],1305C
өртендир,,,"['тен (ablative)', 'дир (particle)']",1305C
даваӊгайыу,,,"['да (verbalizer)', 'ва (negative)', 'гай (optative)']",1307C
зыў,,,['зы (verbalizer)'],1308C
быкты,,,"['ык (verbalizer)', 'ты (past tense)']",1308C
дегжи,,,"['де (verbalizer)', 'жи (verbalizer)']",1308C
ахыш,а,but,['ыш (reciprocal)'],1310C
оюу,,,[],"1310C, 1311C, 1311C, 1313C, 1324C, 1328C, 1333C, 1338C"
хүрүнелиг,,,"['үр (causative)', 'не (verbalizer)', 'лиг (adjectival)']","1310C, 1311C, 1324C"
адыш,адыш,clap,[],"1311C, 1311C, 1313C, 1324C, 1328C, 1333C, 1338C"
хүрүнезинге,,,"['үр (causative)', 'не (verbalizer)', 'зин (volitive 3rd singular)', 'ге (dative)']",1312C
дүжүрбес,,,"['дү (past tense)', 'үр (causative)', 'бе (negative)']","1312C, 1328C"
рүнезинге,,,"['не (verbalizer)', 'зин (volitive 3rd singular)', 'ге (dative)']",1314C
күскелер,күске,mouse,['лер (plural)'],"1314C, 1316C, 1322C, 1601C, 1603C, 1638C, 1640C"
өөрүвүс,өөр,friend,['вүс (1st plural person marker)'],1314C
үлээрге,үлээр,divide,['ге (dative)'],1314C
дразында,,,['зында (possessive 3rd locative)'],1316C
чагны,чаг,fat,['ны (accusative)'],1317C
үлүүвүс,,,['вүс (1st plural person marker)'],1318C
бербээн,бе,mare,['эн (participle)'],"1318C, 1348C"
чаавыс,чаа,okay,['выс (posessive 1st plural)'],1318C
бактажып,бак,nasty,"['та (verbalizer)', 'ып (circumstantial)']",1319C
чаргылдажыр,чаргылдажыр,complain,[],"1321C, 1348C"
төлеттирип,төл,child,"['ир (participle)', 'ип (circumstantial)']",1321C
сүмелешкен,сүме,appointment,"['ле (verbalizer)', 'кен (participle)']",1322C
эдержип,эдер,redo,['ип (circumstantial)'],1323C
чорупканнар,,,"['ор (aorist)', 'уп (circumstantial)', 'кан (participle)', 'нар (plural)']",1323C
олургашс,олур,sit,['гаш (circumstantial)'],1324C
күрүне,күрүне,state,[],"1326C, 1335C, 1335C, 1340C, 1340C, 1345C"
делгем,делгем,wide,[],1326C
хүрүне,,,"['үр (causative)', 'не (verbalizer)']","1326C, 1345C"
