Word,Line Numbers
тарбыдааш,797B
далайже,"797B, 800B"
мыйыт,"798B, 801B, 829B"
танак,"798B, 801B"
оларныӊ,"798B, 1046C"
танаан,799B
аартпайн,"799B, 802B, 1647C"
салыпсыӊза,799B
сээң,"799B, 1039B, 181C"
чорууӊну,799B
чогудуп,799B
боорлар,799B
киирипкен,800B
адырыпкан,802B
дүъште,"808B, 811B"
дунчулаар,808B
ээремге,"809B, 811B, 823B"
докпак,"811B, 872B, 399C, 1766C"
байлаӊуын,812B
шүүп,813B
чакпазы,814B
буруӊгу,819B
хаанныӊу,819B
сураглап,820B
өңнүк,821B
белден,822B
артымдан,824B
серээзи,"825B, 825B"
шанчарда,825B
меўнээн,825B
ниў,"826B, 213C"
сывын,826B
кадыра,826B
дадара,827B
дөртелээ,829B
серээни,830B
га,"831B, 843B, 1172B, 139C, 292C, 1262C, 1551C, 1555C"
дайылдажып,833B
эгелээр,833B
дайылдажыр,836B
чылгыӊны,839B
чылагызын,840B
аеп,"840B, 1203B, 1577B, 1500C, 1750C"
карактыт,841B
кулактыг,"841B, 1570B, 399C, 414C"
кыскыл,841B
чанын,842B
чүгеннээш,843B
мундургаш,843B
бижип,"843B, 1613B, 172C"
эзериӊни,844B
бектенип,844B
тыртпайн,845B
карааны,"845B, 965C, 983C"
шийип,845B
кээриӊте,846B
чагаауны,849B
олурарынга,849B
хааржак,850B
чел,"850B, 1181C"
иш,"850B, 854B, 871B, 1115B, 1305B"
ынавайн,851B
чет,851B
аээн,"851B, 104C, 150C, 268C"
черинде,852B
чагаазын,853B
хаар,853B
жак,854B
шайдан,854B
чоруум,854B
далаштыг,855B
аалынта,"856B, 1101B, 853C"
хөлзээзин,856B
рээзин,"857B, 1644C"
мык,858B
шерии,"858B, 863B, 868B, 278C, 838C"
аалын,"858B, 1179B, 881C"
куржалы,"858B, 863B, 868B"
болганда,"861B, 866B, 1198B, 1239B, 1610B, 185C, 227C, 782C"
диӊмит,"861B, 866B"
кежээлей,"861B, 866B"
хааржаанын,870B
колдуну,871B
ажыдыптарга,871B
тинден,872B
канчаалы,873B
чоолу,873B
куржалган,874B
шерииниӊ,"875B, 877B"
деў,"875B, 877B, 1103B"
кыргаш,875B
келиӊер,"876B, 249C, 253C, 263C"
халышкаш,876B
удатпаанда,877B
хаанныўу,"877B, 1181B"
докпактыг,879B
кижилерни,879B
колдузунче,879B
чуртун,"880B, 232C"
пиерийнин,881B
артыын,881B
баты,882B
тоолду,"884B, 902B"
чажырбазыл,884B
бурунгунунӊ,"885B, 721C"
зинде,886B
шагнын,"886B, 1496B, 1496B"
барганында,886B
эдегелдей,"887B, 974B"
уруглуг,"887B, 1378B, 3C"
ирбин,"887B, 975B"
карбын,"888B, 909B, 975B"
өгленип,"889B, 1387B"
четкелек,890B
каран,890B
көрнүр,"890B, 912B, 918B, 938B, 986B"
хамчыргай,891B
байдалдыг,"891B, 14C, 26C, 40C"
тенек,"891B, 387C, 391C, 395C, 398C, 495C, 502C, 510C, 528C"
кү,"892B, 1093C"
аээзи,893B
аалдап,"893B, 975B, 920C, 1512C"
чолугуп,894B
мендилешкен,894B
лар,"896B, 1422B"
би,"896B, 1560B, 1445C, 1643C"
чий,897B
иртин,"897B, 1196B, 1204B, 1237B, 1242B, 1274B, 1277B"
төжү,897B
күдээ,"899B, 1095B, 1107B"
дыӊнаксаар,899B
хирезинде,902B
мырыӊай,"903B, 1161B, 754C"
ойзу,904B
мегелеп,"904B, 619C, 1231C, 1278C, 1281C"
чажырбас,906B
ээре,"906B, 1181B, 1218B, 1255B, 1388C, 1391C"
жип,"907B, 788C"
өйде,"909B, 1773C"
хандан,910B
эъттен,910B
уруум,"910B, 1077B, 1475B, 11C, 47C, 53C, 106C, 131C, 142C, 157C, 177C"
тавакка,911B
эргинни,912B
артап,912B
көрүптер,912B
ээлери,"913B, 916B"
мурнатсын,"913B, 914B"
маргышкан,914B
иткилешкен,914B
пе,"915B, 765C"
олурбушаан,916B
честези,"916B, 944B, 947B, 952B, 953B, 958B, 990B"
ытпайн,"917B, 920B, 923B, 926B"
караӊ,"918B, 938B"
ээлериниӊ,918B
орукара,923B
арам,924B
соругга,926B
сыптыг,"927B, 966B, 844C, 1133C, 1135C"
кестик,"927B, 966B"
сөглезе,"930B, 931B"
кыӊ,931B
тырадыр,932B
ырап,"932B, 487C"
тоолдаан,933B
дыӊнаксааннар,933B
ды,"933B, 1220C, 1701C"
наан,934B
ишкен,935B
байырымныг,936B
дүжедим,936B
чанаалы,937B
угбам,"940B, 1557C"
честем,940B
уруувус,"942B, 1383B"
угба,942B
честезин,942B
сагынган,942B
сагынганын,942B
алзын,943B
алыӊар,"943B, 120C, 279C"
уругларым,"943B, 1124C"
честемге,943B
ушкажыр,943B
чуржузун,944B
чаптааш,944B
ушкарып,944B
ыяшта,"947B, 953B, 1121C"
астына,"947B, 950B"
болбазыкпе,948B
эндевейн,948B
чуржу,"949B, 992B"
чуржузу,"949B, 955B, 967B"
чаныӊ,949B
тудазын,949B
ыяжынга,950B
ашпас,953B
кадалы,"954B, 956B, 1756C, 1759C"
таптыг,"956B, 967C, 1666C"
эккээйнчестей,956B
согуннуӊ,957B
молдуруун,957B
сый,"957B, 968B, 176C, 446C, 496C"
хорадааш,"958B, 1637C, 1638C, 1640C, 1643C"
угбаӊга,959B
ушкажып,"959B, 961B"
честей,960B
чаннып,"960B, 680C, 694C"
чашпып,960B
сыктап,"961B, 1398B"
честезинге,961B
кадында,963B
үремиш,963B
ооругда,965B
дытта,966B
ыыт,967B
кестикти,967B
шиш,"967B, 1399C, 1550C"
стези,969B
көрбестеп,969B
чадаг,"969B, 914C"
кылаштадып,970B
көрбес,971B
анай,"971B, 1116B, 899C, 1046C, 1083C, 1086C, 1087C, 1088C, 1094C, 1095C, 1099C, 1100C, 1106C, 1110C, 1111C, 1114C, 1127C, 1128C, 1129C, 1131C, 1137C, 1140C, 1143C, 1145C"
хураганын,971B
хавыртып,971B
кадартырынга,971B
өй,971B
чемни,972B
холуктуун,972B
чемениӊ,972B
кадыын,972B
дыңнаар,972B
хонуу,974B
кээрлерге,976B
салганда,977B
оӊгаар,977B
дескээр,977B
харанып,977B
орарынга,977B
өйлежир,977B
олурларда,978B
чудай,979B
удуур,979B
элеӊейнип,"979B, 456C"
олуруптур,980B
уруунун,981B
чыттап,981B
суйбап,981B
бардыӊ,"982B, 823C, 1127C"
ыыттавас,982B
орукка,983B
төөгүнүў,984B
төөгүп,984B
караў,986B
өшкүнүу,986B
руундан,987B
алгыртыр,987B
кышкыртыр,987B
төөгүнүӊ,987B
өшкү,"988B, 899C, 1555C, 1557C, 1559C, 1644C, 1647C, 1648C"
ауп,989B
чуржумну,991B
хыйнап,991B
са,"992B, 1067B, 632C, 667C, 1360C"
лып,"993B, 1223C"
чагдыг,993B
эъдйн,993B
дүлүп,993B
эъттеп,993B
аарга,993B
тоолдзар,993B
сур,996B
тап,"997B, 1037B, 1163B, 1334B, 1483C, 1548C"
сөөскенге,999B
үнмезин,999B
сөске,1000B
турбазын,1000B
сагыш,"1001B, 1001B, 1002B, 1002B, 1003B, 1003B, 1014B, 1016B, 1031B, 1034B, 1040B, 1042B, 1043B, 1070B, 1090B, 1117B, 1119B, 1120B, 1123B, 1127B, 1132B, 1134B, 1135B, 1136B, 1137B, 1140B, 1144B"
даарааш,1005B
ар,"1005B, 1318B, 107C, 1367C, 1387C"
тамчы,"1006B, 1319B, 108C"
эшкеш,1006B
улгаткан,1007B
бергедээн,1007B
каарымга,1008B
хевенекке,1008B
чеп,"1008B, 1009B, 1017B, 1030B"
аргамчыга,1009B
үстүп,"1010B, 1017B"
башка,"1010B, 1248B, 1250B, 1278B, 1604B, 1084C, 1433C, 1730C"
кагбас,1011B
авазын,"1012B, 1016B, 1017B"
акызы,"1014B, 1031B, 1119B, 1370B, 1439B, 410C, 420C, 469C, 523C, 609C, 674C"
өлген,"1014B, 1356B, 1515B, 272C, 536C, 1099C, 1100C, 1225C, 1257C"
сөөктү,1014B
чүктевес,1014B
хөөкүй,"1016B, 415C, 1584C"
чеже,"1016B, 1037B, 1318B, 1552B, 1553B, 580C"
кажа,1017B
аргамчызы,1017B
чокшу,1021B
баарыӊда,1023B
ховуда,"1024B, 931C, 1159C"
жымга,1025B
курт,"1025B, 1423B, 1424B"
адаамдан,1025B
чагдат,1025B
пас,1026B
буянныг,"1026B, 1499B"
кижим,1026B
буяныӊ,1027B
лан,1027B
кузар,"1027B, 1045B, 1125B"
ажыы,1028B
сагыщ,1029B
көжээзин,"1029B, 1043B, 1044B, 1074B, 1126B, 1127B, 1128B"
таш,"1030B, 1356B, 89C, 1095C, 1119C, 1458C"
аргамчызыныӊ,1030B
аалында,1032B
аштанчыт,1035B
маганыӊдан,1035B
чийли,1035B
дуӊмазыныӊ,"1036B, 1120B, 1424B"
сагыштыу,1036B
маганын,"1036B, 1119B, 713C"
чурт,"1036B, 292C"
дүңмазыныу,1037B
малы,"1037B, 908C, 1569C"
ма,"1037B, 265C, 278C"
ганы,"1038B, 374C"
малыӊдан,1039B
чүведен,"1039B, 1142B, 1377C"
чиили,1040B
маганыӊны,1041B
бербейн,1042B
аалдар,"1043B, 1045B"
диленип,"1043B, 1177B, 1179B, 1195B, 1522C"
лау,"1044B, 1556B, 1609B"
мөӊ,1044B
гүн,1045B
мөӊгүнү,1045B
чадырга,"1047B, 1144B, 397C"
оруң,1048B
орунну,1048B
каскаш,1048B
хайыракан,"1049B, 1063B, 1147B, 1159B, 1160B, 51C, 64C, 66C, 67C, 91C"
үжелээн,1050B
дилгиден,1051B
чуӊтулак,1052B
арагалап,"1052B, 192C, 194C, 195C, 247C, 258C, 260C"
билектээжин,"1053B, 1096B, 1099B, 1150B"
билектээщти,1053B
дыттыӊ,"1054B, 1581B"
мең,1054B
оозунга,1055B
хомудааш,"1055B, 1315B"
аарый,"1055B, 736C"
лама,"1055B, 723C, 726C, 730C, 733C, 734C, 753C, 794C, 894C, 937C, 941C, 945C"
хүрүм,"1055B, 743C"
бала,1055B
коккаарак,"1058B, 1058B, 1147B, 1153B, 1158B"
суунун,1060B
чүдедип,1060B
быжартааш,1061B
каӊдаан,1061B
суксап,"1061B, 1308C"
сек,1062B
сегизинге,1062B
чадырывыстыӊ,1064B
пөш,1065B
тооруу,1065B
төнмес,1065B
дау,1067B
рыт,1068B
дилгизи,"1068B, 1297C, 1298C"
хайыраканы,"1068B, 85C"
келдигер,1071B
чүгүгерден,1071B
үндүӊер,1071B
ты,"1072B, 786C, 1625C, 1735C"
чүгүмден,1073B
падарлап,1073B
олуртур,1074B
чаӊтыс,"1077B, 1170B, 1366B, 1377B, 550C, 553C, 571C, 591C, 594C, 646C, 693C, 1068C"
төлгеден,"1077B, 1107B"
көрүңер,"1077B, 1272B, 1589C"
сагыжыӊ,"1079B, 1164B"
төлгелеп,1079B
аайлыг,"1080B, 1757C, 1760C"
хамытан,"1082B, 1096B, 1103B, 1106B, 1119B"
чыылдырып,1082B
каттан,1083B
билген,"1083B, 1501C"
амытанда,1085B
болтан,"1086B, 778C"
билектээжим,1088B
ынчаар,"1091B, 1295B, 1298B, 890C, 914C, 1517C"
аалдыў,1091B
алзыӊза,1094B
баарымныӊ,1094B
өдү,1094B
караам,"1094B, 644C, 644C, 649C, 651C, 657C, 658C, 964C, 977C, 994C"
хораазын,1096B
айлеп,1096B
дыттыу,1097B
билектээшти,1098B
аарыы,"1099B, 754C, 763C"
экирип,1099B
дирлдер,1101B
чарлыын,1102B
күүседир,1102B
апаар,"1102B, 230C, 810C"
чартыындан,1103B
чонунун,1103B
кодан,"1103B, 1602B, 935C, 936C, 937C, 938C, 940C, 945C, 946C, 949C, 951C, 956C, 959C, 961C, 968C, 972C, 975C, 976C, 989C, 992C, 1004C, 1005C, 1399C, 1569C, 1657C, 1659C, 1662C, 1670C, 1683C, 1690C, 1691C, 1715C, 1747C"
хондуруп,1104B
кырлып,1106B
хайта,1106B
аныл,1107B
хиртээнил,1107B
төлгезиҥ,1109B
олу,"1109B, 1451B, 60C, 397C, 945C, 1046C, 1755C"
руп,"1110B, 946C, 1047C"
сугну,"1110B, 1115B, 775C, 777C, 779C, 1414C"
быжартап,1110B
баксыраан,1110B
шынчы,"1112B, 333C, 382C, 1747C"
сууну,1113B
арыглап,"1113B, 1156B"
делбереп,1114B
маганы,1115B
кеш,"1116B, 1366B"
хенче,"1116B, 1116B, 1156B, 1157B"
бүрүлбестээн,1116B
катышкы,"1117B, 1167B"
түрегдеп,1120B
баксырааш,1120B
соон,"1120B, 1573B"
сагыштыӊ,"1121B, 1531C"
сегээн,1124B
чүвембо,1124B
лаў,"1125B, 1563B"
мооӊ,"1125B, 181C, 809C"
амыдырап,"1125B, 391C, 1415C, 1418C"
шенеп,"1128B, 1368C"
лаӊ,"1129B, 1129B, 1524B"
мөңгүн,"1129B, 685C"
меӊтүн,1130B
көжээни,"1130B, 1131B"
мөӊгүнүн,1131B
көжээзи,1132B
дуӊмазыны,1135B
көжээӊ,1137B
акый,1137B
дым,"1139B, 385C"
дунмазы,1140B
олургапг,"1140B, 727C, 1463C"
талаар,1141B
аалдыўӊ,1141B
ачаа,1142B
орун,"1145B, 869C"
эрги,1145B
үжээлээ,1147B
урууну,1150B
удургу,1151B
кулугурул,1152B
чит,1153B
суунуӊ,1155B
хенертен,1155B
араан,1155B
ышкажыл,1156B
анайы,1157B
өлбес,"1157B, 1157B, 1527B, 536C"
хураганы,1157B
көӊгүс,1161B
куруглаан,"1161B, 1200C"
майтак,1161B
геш,"1162B, 773C"
пөжүмнүӊ,1162B
тооруун,"1162B, 514C"
кылаш,"1162B, 1333B, 1382C"
үжээлээн,"1164B, 1166B"
түрлер,1164B
дүжүрүпкен,1165B
сагышты,1165B
кааптырлар,"1166B, 1375B"
сатыш,1167B
чанңгыс,1169B
карыш,"1169B, 1170B, 1170B, 1170B, 1170B, 1171B, 1173B, 1179B, 1186B, 1191B, 1193B, 1194B, 1198B, 1206B, 1209B, 1214B, 1214B, 1217B, 1223B, 1227B, 1229B, 1230B, 1233B, 1239B, 1244B, 1246B, 1251B, 1251B, 1254B, 1260B, 1264B, 1265B, 1267B, 1267B, 1271B, 1276B, 1279B, 1282B, 1287B, 1292B, 1295B, 1300B, 1304B, 1311B, 1357B, 1133C, 1135C"
рыш,"1171B, 1181B"
ди,"1174B, 1267B, 1504C"
ленип,"1175B, 938C, 1505C"
чиилиӊерем,1175B
дуӊмалары,1176B
диленир,1177B
дээштиң,1179B
өдээни,"1180B, 1217B"
ыттары,"1181B, 1218B, 1255B"
шивишкинден,1184B
чединмес,1189B
силерден,1195B
богданыӊ,"1196B, 1202B, 1204B, 1274B"
юмо,1199B
ы,1200B
кеч,1201B
иртинге,"1202B, 1240B"
кагдым,"1202B, 1240B, 1301B, 481C, 484C, 784C"
өлүргепг,1204B
бузуп,"1205B, 1243B"
иртти,"1206B, 1244B, 1278B, 1279B, 335C"
бускаш,1206B
чаваназын,"1208B, 1245B, 1246B, 1281B"
октавыт,"1208B, 1281B, 1289C"
чавананы,"1209B, 1210B, 1211B, 1212B, 1247B, 1248B, 1249B, 1282B, 1283B, 1284B, 1286B"
ыдынга,1210B
карышты,"1211B, 1213B, 1248B, 1250B, 1284B, 1308B, 1312B"
тиӊер,1212B
чугаалаарга,"1212B, 1529B, 420C"
чипкен,"1213B, 1318C"
чорутка,"1214B, 1251B"
читкен,"1215B, 1252B"
дэ,1215B
эштиӊ,1216B
аалындыва,"1216B, 1253B"
шивишкинин,"1220B, 1257B"
айбы,"1220B, 1257B"
лаан,"1221B, 1258B"
карыштыӊ,1226B
чагдан,"1234B, 1272B"
дилен,1234B
богданыу,"1237B, 1240B"
октаптар,1241B
богданыў,1242B
сойгаш,"1244B, 1297B"
каавыт,"1245B, 659C, 1266C, 1272C, 1276C"
чипкеш,"1248B, 1284B, 1286B, 966C, 984C"
чиптиӊер,"1249B, 1285B"
чипкенҥ,1250B
акыларым,"1252B, 1267B, 1578C"
чугаалаттынгапттынӊ,1252B
өдээнин,1254B
кылыштап,1254B
карыштын,1263B
чаӊгтыс,"1264B, 1304B, 555C"
хаанта,"1264B, 1538B"
карыпг,1266B
леп,1268B
дилентен,1272B
бүгү,"1276B, 364C"
хоюн,"1276B, 1298B, 1303B, 458C"
богданы,1277B
каггаш,1277B
өзээштиӊ,1277B
карышче,1286B
халчып,1286B
кулактарындан,1287B
үскү,1287B
дештирип,1288B
кадарар,1290B
ыдымны,1290B
болганыӊда,1290B
кадарчы,1291B
кадаргаш,"1297B, 843C"
хойну,"1297B, 1311B, 461C"
тулуптай,1297B
долдур,"1298B, 1299B"
төдү,1298B
кештерин,1299B
тулуптагылап,1299B
хүк,1300B
хойларынӊны,1301B
бодуӊар,1301B
хавырып,"1302B, 1303B"
олурткаш,1305B
хырнынга,1305B
куткаш,1305B
чөкпек,1305B
тинге,1306B
чаштып,1306B
хак,1308B
кагарынын,1312B
орнунта,1312B
калчораан,1313B
моң,1313B
кончуттунмушаан,1313B
теверге,1313B
оозу,"1314B, 393C, 451C, 456C"
ах,1316B
халак,"1316B, 1316B, 545C"
туттунчуп,1316B
кадайымны,1316B
чу,1316B
___,"1317B, 1636C"
тааланып,1317B
кеттингеш,1318B
ааржы,"1318B, 1355B, 1355B, 1358B, 93C"
саржаан,"1318B, 1355B, 1358B"
чөкпээн,1319B
чүктээн,"1323B, 1329B, 1336B, 1343B, 937C"
аарын,"1323B, 1329B, 1336B, 1343B, 1350B"
чугаалангаш,"1323B, 1329B, 1336B, 1343B, 1350B"
дыштаныр,"1323B, 1329B, 1336B, 1343B, 1350B"
бехаан,1324B
бөргүмде,1326B
төнгеш,"1328B, 1335B, 1342B, 1349B"
курумда,1333B
курун,1333B
идиимде,1340B
базада,1340B
тонумда,1347B
чуктээн,1350B
чугааланган,"1353B, 1123C"
саржаамда,1355B
чоткан,1356B
доӊуп,"1356B, 1099C, 1100C"
хырынны,1357B
савада,1359B
мөӊтүнүн,1359B
дажыглап,1359B
чаадаи,1361B
оруктуӊ,1364B
белдири,"1364B, 1516B"
низ,1365B
белдиринге,"1365B, 1365B, 1418B, 1418B"
сүмелеш,1365B
хемче,"1366B, 1374B, 1376B, 625C, 628C, 652C, 659C, 664C, 670C, 676C, 694C, 697C"
ажылдап,"1366B, 1382B, 1387B"
чораанын,"1368B, 1368B, 1510C, 1522C"
билирил,1368B
чугаа,"1368B, 1153C, 1616C"
лашкан,1369B
даяӊгыыжывысты,1371B
каалыӊар,1371B
даянгыыжы,1372B
чарылгаш,"1372B, 1419B"
ыргайгаш,1372B
даягыыжын,1374B
шашкаш,"1374B, 1044C"
кыдыкы,"1376B, 1381B"
чорутса,1376B
чо,"1376B, 269C, 553C, 819C, 1399C, 1537C, 1628C"
рутса,1377B
хемдиве,1381B
ажылдазыӊза,1383B
кырый,1384B
чөпшээреп,"1386B, 186C"
тараа,"1387B, 1391B, 553C, 555C, 558C, 561C, 563C, 566C, 578C, 582C, 595C, 597C, 599C"
тарып,"1387B, 1388B, 553C, 578C, 582C, 598C, 718C"
дөгергеш,1388B
илииртеп,"1388B, 1391B, 1396B"
илиири,"1388B, 1396B"
төнмээнде,1389B
келгеннер,"1389B, 608C, 618C"
чогуӊда,1393B
чааскаан,"1393B, 1159C, 1317C, 1318C, 1343C"
барбас,"1393B, 1394B, 791C, 792C, 798C"
саазынга,1395B
чуруй,1395B
төнгелдекте,1396B
саазынны,1397B
баардыӊ,"1400B, 1400B, 809C"
чооп,"1400B, 66C"
чүвемни,1401B
урут,"1403B, 1471B, 1475B"
өлбээн,"1404B, 51C, 107C, 827C"
бодуң,1404B
өшпээн,"1404B, 52C, 107C, 827C"
одуӊ,"1404B, 827C"
өжери,"1404B, 52C"
сутта,1406B
сутну,1406B
агып,"1406B, 638C, 769C"
узуту,"1407B, 1448B, 1451B"
суглаан,1408B
шивишкининге,1408B
чурукту,"1408B, 1411B, 817C, 833C"
сугнуу,1412B
ог,1412B
аумга,1413B
чалбак,1415B
хөөп,"1415B, 1429B, 1755C"
болчаг,1417B
дууӊмазыныӊ,1419B
даянгымжы,1419B
канчаарыал,1421B
истээр,1423B
чоончук,"1423B, 1453B, 1457B, 1461B"
лер,"1426B, 1489B, 1681C"
билигжи,"1427B, 1428B, 1449B, 1450B"
чоонган,"1427B, 1431B, 1433B, 1435B, 1437B, 1449B, 930C, 1597C"
көргепг,1428B
алдында,1429B
тирлдер,1430B
сөгер,"1431B, 1431B"
гаш,"1432B, 370C, 496C, 507C"
чокту,"1435B, 1436B, 1437B"
эъттендирер,1435B
эъттендирери,1436B
эъттендирип,1436B
кештендирипкен,1436B
тын,"1437B, 1437B, 756C"
тыннандырар,"1437B, 1461B, 1462B"
нандырар,1438B
тыннандырыпкан,1438B
ауӊмазы,"1438B, 535C"
тынып,1438B
эрттир,"1440B, 1443B, 1445B"
келгей,1441B
белинден,1441B
ох,1443B
дээриӊ,1445B
алдывыс,"1446B, 787C, 928C"
каапты,"1446B, 1448B"
куръяктыг,1447B
куръямны,1447B
керни,1451B
шевер,"1453B, 1453B, 1454B"
шевержи,1453B
хадыӊ,1454B
чазаан,1455B
хаай,"1456B, 1457B"
дыргактан,1457B
дыргак,1458B
будукчу,"1459B, 1459B, 1459B"
чүн,1459B
сара,1459B
будуп,1460B
тыннандырып,1462B
ужукчу,1463B
ужудуп,"1463B, 1466B, 519C, 522C"
тупуп,1463B
аайжок,1464B
канчандыр,1464B
ужар,"1464B, 1627C"
кужунга,1465B
аалды,"1468B, 882C"
дескиндир,"1468B, 1479B"
диштир,1472B
кевин,1474B
көрүксевсс,1474B
чорбуже,1475B
көрбейн,1476B
дескинип,1478B
чүгүре,1479B
уруувусту,1482B
күчүлүг,1482B
булаа,1485B
даӊгтына,1487B
ужуражып,1488B
чоруулуӊар,1488B
болуйн,1488B
си,"1488B, 1526B, 1680C"
үтер,1489B
болуӊар,1489B
кааннар,"1491B, 781C, 889C, 1078C"
үгер,1492B
белээди,"1495B, 1499B, 1500B, 1505B, 1513B, 1516B, 1529B, 1535B, 1536B, 1612B"
буянды,1497B
шавы,1497B
аама,"1497B, 743C, 796C, 940C"
деспектин,1498B
чарыын,1498B
эжелей,1498B
өлчейлиг,1499B
дуганыныӊ,1500B
шывар,1500B
бээжинниӊ,"1501B, 1515B, 1524B"
кодазындан,"1501B, 1524B"
лаң,"1501B, 1514B"
садып,"1501B, 1514B, 1524B, 912C, 928C, 928C"
чыраа,"1501B, 667C, 672C, 678C, 686C, 687C, 690C, 705C, 929C, 1147C, 1161C, 1167C, 1170C, 1186C"
каразын,1502B
хоор,1503B
тавар,1503B
чиглеп,"1506B, 1509B"
эрликтин,"1508B, 1579B"
бижээчизиниӊ,1508B
шоот,"1508B, 1517B, 1519B, 1522B, 1555B, 1559B, 1560B, 1567B, 1569B"
бээжинниу,1511B
кодазыныӊ,"1511B, 1515B"
мун,1513B
алдынын,"1514B, 1529B, 1563B"
аксынга,"1517B, 165C, 389C, 938C, 1136C, 1358C"
ужурашканы,1517B
бижээчизи,"1517B, 1555B"
туруптур,1518B
херээӊ,1519B
алдыў,1519B
чорааныӊар,1523B
алдыныӊны,1526B
эрликте,1526B
адыӊны,1526B
вирип,1527B
кааптайн,1527B
мөӊтеде,1527B
мөӊтередип,1528B
кымга,1528B
чугаалавас,1528B
чүвеӊерни,1530B
керейн,1530B
чалданыр,1532B
кудуӊ,1532B
куюмнаар,1532B
даалыӊ,1533B
хү,"1533B, 1313C"
лүп,1534B
ыыттавайн,1535B
туп,"1536B, 852C"
зылавас,1537B
кырывас,1537B
эрлик,"1538B, 1542B, 1546B, 1558B, 1559B, 1565B, 1576B, 1606B, 1608B, 1507C"
аовуу,1538B
бүрүзү,"1538B, 454C"
кээдиниу,1539B
рип,1540B
эвесце,1540B
янзы,"1541B, 208C, 210C, 214C, 729C"
кайгамчык,"1541B, 834C"
белээдиниӊ,"1541B, 1545B"
сывы,1541B
хараада,1542B
ловуӊ,"1542B, 1608B"
щүтдүрүп,1543B
даӊзыда,1543B
ады,1543B
лову,"1546B, 1576B"
гизип,1547B
белээдиниф,1547B
мәөӊтежирээн,1547B
чылдагаанын,1547B
белээдиниу,"1548B, 1567B"
албатызыныӊ,"1549B, 1573B"
төрүттүнгеш,1549B
беллээдини,1550B
назыныўӊ,1552B
мурнумда,1552B
ки,"1554B, 350C, 378C, 657C"
жи,"1555B, 658C"
эрдиктин,1555B
өўнүк,1556B
чыжыр,1556B
бээримге,"1556B, 357C, 358C"
адымны,1557B
балап,1557B
дыӊнай,1558B
сал,1558B
ловуну,1558B
ловун,1559B
бижээчини,1560B
жээчи,1561B
ээрдик,1562B
караӊты,1562B
дүмбей,1562B
лээдиниӊ,1563B
эккээримге,1563B
белээдини,"1564B, 1565B"
мөӊгежиреткен,1564B
аовуӊ,1565B
диригге,"1565B, 503C"
кожагарныӊ,1568B
дыӊнатпас,1570B
бодаан,1570B
мугулайга,1570B
белэзди,1572B
төлүнүӊ,1573B
дыӊнаар,1573B
үүле,1574B
дүрген,"1574B, 9C, 249C, 252C"
дирите,1576B
бараалгаалы,1577B
арттын,1579B
шооттан,1580B
саасканче,1581B
айыткаш,1581B
айты,"1581B, 205C, 432C, 589C"
рарга,"1582B, 883C"
өртемчейде,"1583B, 1593B"
амытаннарны,1583B
чүзүнүн,1583B
ылгап,1584B
демдээ,"1584B, 1594B"
ыйгылдашкан,1586B
ээлээн,1588B
амытаннар,"1588B, 934C, 1597C"
эрликтиӊ,"1590B, 1595B"
эжиини,1590B
силерниӊ,"1593B, 145C, 247C, 1326C, 1335C"
кудуруктуг,1593B
велерни,1594B
ылгаан,1594B
тамызы,1595B
келип,"1596B, 117C, 178C"
төштүг,1597B
төжүн,1597B
эъттиг,"1597B, 1666C, 1673C, 1674C, 1697C, 1698C, 1705C, 1744C"
херекти,1598B
изиг,"1599B, 1605B, 182C, 188C, 532C"
тамызынга,1599B
каргырткайндыр,1599B
тамызындан,1600B
доъыш,1600B
балдыры,1600B
доӊа,"1600B, 372C"
дазылдыг,1603B
дээрден,"1604B, 137C"
хилинчек,1604B
кылыр,"1604B, 108C, 220C, 733C"
тамыны,1605B
ловуу,1606B
коданынга,"1606B, 706C"
белээдиге,1608B
өртээ,1609B
му,1609B
алдыны,1609B
оранымны,1609B
чырыдып,1610B
намзырай,"1610B, 1612B"
хаваанче,1611B
чырс,1611B
төре,1612B
төөгү,1613B
номналын,1613B
ш,"-1C, 1362C"
утаадыглыг,-1C
сүттеп,"0C, 2C, 5C, 6C, 9C"
сүмелдей,"0C, 2C, 16C, 25C, 28C, 29C, 32C, 41C, 42C, 43C, 79C, 101C, 102C, 105C, 118C, 126C, 163C, 170C, 180C, 188C"
уула,"1C, 550C, 1408C"
келийн,5C
янзылыг,"6C, 86C, 121C, 183C, 220C"
ийнен,"8C, 228C"
ижериниӊ,9C
чөпшээрээн,11C
тайык,12C
каткылыг,"13C, 25C"
ши,13C
риин,14C
домбуда,"14C, 27C, 41C"
соой,"14C, 27C"
тывызык,"16C, 29C, 35C, 1767C"
мдайн,16C
сү,16C
мелиг,17C
шуӊма,17C
аээр,17C
хүлзэп,18C
олуруӊда,"18C, 61C"
айтырыг,"18C, 79C, 81C, 119C, 133C, 143C, 183C, 228C, 246C, 247C, 256C, 1787C"
көгелдей,"18C, 33C, 37C"
мугур,"19C, 33C, 37C"
будуу,"19C, 20C, 34C, 34C, 38C, 38C"
кургаг,"20C, 34C, 39C, 90C, 451C, 455C, 515C, 543C"
болзаӊ,"20C, 31C"
чеӊңниг,20C
кырыӊны,"20C, 31C"
чеӊи,"20C, 31C, 588C"
иле,21C
бөргү,"21C, 31C, 588C"
кезер,"21C, 361C, 589C"
чорувуткаш,23C
